Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL
540.5291841174316,1509.0617992055695,437.62509594545065,3.899862121090397,3.5359112789412155,3128.0345489356127,4055.155327215775,8284.870830050062,619
983.865983888978,928.3032169971711,260.5222820626559,3.804468442370773,3.6912881119840746,1235.5286560940235,1972.6283004523611,7542.541584637436,131
786.5260098328907,1250.1873180958223,360.91040855712095,3.8573949965898016,3.6109834787016895,1333.3701694748129,2983.3086901724914,8092.647505198102,297
158.78415079281388,2138.3637542841584,747.4108981507093,4.004665630970091,3.4365689363725687,4695.422084608928,5832.063547370705,8797.957848942593,953
1014.1989295808935,946.3157605018177,285.8335882557798,3.8492352495730953,3.686261099849438,419.61000038190286,1945.1088393006908,7090.672445824244,117
640.4631882381819,1388.1816964325408,422.7447781987621,3.874577643014854,3.6302957391810295,2292.851055748507,3331.515174991803,8290.466053777134,496
1029.8994333518335,950.9791237110794,282.8647736428628,3.7910829961068435,3.7078311108726587,1116.9917845657242,1744.3869487108232,7418.172470004392,109
220.13017282711797,1958.218052980149,680.6698098975966,3.978819233172201,3.4309050882078562,4400.930424201049,5568.250831597493,9151.183063758142,872
191.59949513099843,1964.8392782662786,712.9659583248331,4.00138466758415,3.442616218167528,4519.457601833234,5719.316465603326,9195.026779502963,984
154.63714615004926,2089.771168627732,693.3538009988018,3.9489398071446025,3.4429216373211133,4437.072983883765,5475.237160037444,8713.455963308168,981
902.9214483140811,1048.2497260018677,301.8822070354511,3.8066440426453134,3.6721335645605673,1395.0754316149269,2023.8205713306152,8210.30101471806,164
193.43992702414306,1948.3345502226903,657.3386061887456,3.981527560378451,3.4399308465511775,4436.0017930470885,5506.046167652937,9029.584032047205,906
559.8095494217598,1499.5436458897066,424.6378612810079,3.918076497969517,3.5669289427018116,2418.680000732228,3619.874648420769,8244.414715188565,567
127.81261955661415,2043.8777416795774,753.6413993744959,4.012058771407402,3.4024680368180813,4857.9848896427575,5922.024009342527,9249.67534949734,944
171.7523961229585,1933.1813485099447,655.4400320847525,3.9867757207893693,3.45905824196003,4253.368674742852,5592.254037114844,8835.80941629938,931
1088.9714657944867,829.183045833935,243.04677221388602,3.7745581871778016,3.7172311488950105,1143.5439230424317,1786.0758756385617,7437.959320604141,51
